Id,Group,Trtgrp,Age,B_amp,A_amp
17,NORMAL,DIM,20,278,NA
17,NORMAL,DIM,34,NA,NA
18,NORMAL,DIM,15,191,NA
18,NORMAL,DIM,20,451,NA
18,NORMAL,DIM,34,626,NA
19,NORMAL,DIM,15,448,NA
19,NORMAL,DIM,20,521,NA
19,NORMAL,DIM,34,328,NA
20,NORMAL,DIM,15,191,NA
20,NORMAL,DIM,20,435,NA
20,NORMAL,DIM,34,481,NA
21,NORMAL,DIM,15,NA,NA
21,NORMAL,DIM,20,513,NA
21,NORMAL,DIM,34,1186,NA
22,NORMAL,DIM,15,360,NA
22,NORMAL,DIM,20,330,NA
22,NORMAL,DIM,34,697,NA
23,NORMAL,DIM,15,307,NA
23,NORMAL,DIM,20,314,NA
23,NORMAL,DIM,34,671,NA
24,NORMAL,DIM,15,451,NA
24,NORMAL,DIM,20,564,NA
24,NORMAL,DIM,34,781,NA
25,NORMAL,DIM,15,746,NA
25,NORMAL,DIM,20,757,NA
25,NORMAL,DIM,34,954,NA
26,NORMAL,DIM,15,322,NA
26,NORMAL,DIM,20,389,NA
26,NORMAL,DIM,34,618,NA
27,NORMAL,DIM,15,271,NA
27,NORMAL,DIM,20,790,NA
27,NORMAL,DIM,34,455,NA
28,NORMAL,DIM,15,231,NA
28,NORMAL,DIM,20,772,NA
28,NORMAL,DIM,34,1193,NA
29,NORMAL,DIM,15,184,NA
29,NORMAL,DIM,20,605,NA
29,NORMAL,DIM,34,576,NA
30,NORMAL,DIM,15,238,NA
30,NORMAL,DIM,20,692,NA
30,NORMAL,DIM,34,769,NA
31,NORMAL,DIM,15,282,NA
31,NORMAL,DIM,20,589,NA
31,NORMAL,DIM,34,1167,NA
32,NORMAL,DARK,15,320,NA
32,NORMAL,DARK,20,604,NA
32,NORMAL,DARK,34,1049,NA
33,NORMAL,DARK,15,312,NA
33,NORMAL,DARK,20,341,NA
33,NORMAL,DARK,34,905,NA
34,NORMAL,DARK,15,230,NA
34,NORMAL,DARK,20,422,NA
34,NORMAL,DARK,34,403,NA
35,NORMAL,DARK,15,164,NA
35,NORMAL,DARK,20,298,NA
35,NORMAL,DARK,34,563,NA
36,NORMAL,DARK,15,322,NA
36,NORMAL,DARK,20,319,NA
36,NORMAL,DARK,34,247,NA
37,NORMAL,DARK,15,244,NA
37,NORMAL,DARK,20,460,NA
37,NORMAL,DARK,34,440,NA
38,NORMAL,DARK,15,334,NA
38,NORMAL,DARK,20,338,NA
38,NORMAL,DARK,34,693,NA
39,NORMAL,DARK,15,335,NA
39,NORMAL,DARK,20,838,NA
39,NORMAL,DARK,34,NA,NA
40,NORMAL,DARK,15,314,NA
40,NORMAL,DARK,20,856,NA
40,NORMAL,DARK,34,655,NA
41,NORMAL,DARK,15,258,NA
41,NORMAL,DARK,20,782,NA
41,NORMAL,DARK,34,589,NA
42,NORMAL,DARK,15,240,NA
42,NORMAL,DARK,20,419,NA
42,NORMAL,DARK,34,438,NA
43,NORMAL,DARK,15,442,NA
43,NORMAL,DARK,20,863,NA
43,NORMAL,DARK,34,966,NA
44,NORMAL,DARK,15,285,NA
44,NORMAL,DARK,20,407,NA
44,NORMAL,DARK,34,947,NA
45,NORMAL,DARK,15,225,NA
45,NORMAL,DARK,20,347,NA
45,NORMAL,DARK,34,NA,NA
46,NORMAL,DARK,15,459,NA
46,NORMAL,DARK,20,944,NA
46,NORMAL,DARK,34,819,NA
47,NORMAL,DARK,15,284,NA
47,NORMAL,DARK,20,750,NA
47,NORMAL,DARK,34,763,NA
48,NORMAL,DARK,15,338,NA
48,NORMAL,DARK,20,666,NA
48,NORMAL,DARK,34,701,NA
1,RP,LIGHT,15,14,8
1,RP,LIGHT,20,14,6
1,RP,LIGHT,35,15,0
2,RP,LIGHT,15,41,22
2,RP,LIGHT,20,28,10
2,RP,LIGHT,35,18,0
3,RP,LIGHT,15,34,17
3,RP,LIGHT,20,40,28
3,RP,LIGHT,35,45,18
4,RP,LIGHT,15,53,17
4,RP,LIGHT,20,32,8
4,RP,LIGHT,35,10,0
5,RP,LIGHT,15,23,16
5,RP,LIGHT,20,13,4
5,RP,LIGHT,35,0,0
6,RP,LIGHT,15,13,7
6,RP,LIGHT,20,28,17
6,RP,LIGHT,35,0,0
7,RP,LIGHT,15,12,7
7,RP,LIGHT,20,18,13
7,RP,LIGHT,35,8,5
8,RP,LIGHT,15,50,17
8,RP,LIGHT,20,19,10
8,RP,LIGHT,35,10,11
9,RP,LIGHT,15,25,16
9,RP,LIGHT,20,9,3
9,RP,LIGHT,35,7,3
10,RP,DIM,15,15,0
10,RP,DIM,20,22,6
10,RP,DIM,35,18,5
11,RP,DIM,15,14,8
11,RP,DIM,20,12,3
11,RP,DIM,35,NA,NA
12,RP,DIM,15,20,12
12,RP,DIM,20,15,0
12,RP,DIM,35,14,0
13,RP,DIM,15,7,0
13,RP,DIM,20,11,7
13,RP,DIM,35,3,0
14,RP,DIM,15,17,6
14,RP,DIM,20,22,8
14,RP,DIM,35,22,15
15,RP,DIM,15,36,33
15,RP,DIM,20,15,6
15,RP,DIM,35,5,2
16,RP,DIM,15,42,8
16,RP,DIM,20,27,11
16,RP,DIM,35,20,7
17,RP,DIM,15,10,0
17,RP,DIM,20,27,6
17,RP,DIM,35,32,23
18,RP,DIM,15,10,4
18,RP,DIM,20,12,5
18,RP,DIM,35,7,0
19,RP,DIM,15,38,23
19,RP,DIM,20,11,5
19,RP,DIM,35,11,3
20,RP,DIM,15,24,8
20,RP,DIM,20,18,14
20,RP,DIM,35,12,4
21,RP,DIM,15,17,11
21,RP,DIM,20,21,11
21,RP,DIM,35,NA,NA
22,RP,DIM,15,20,0
22,RP,DIM,20,18,3
22,RP,DIM,35,26,15
23,RP,DARK,15,38,29
23,RP,DARK,20,32,23
23,RP,DARK,35,29,19
24,RP,DARK,15,19,10
24,RP,DARK,20,4,0
24,RP,DARK,35,30,14
25,RP,DARK,15,66,33
25,RP,DARK,20,39,16
25,RP,DARK,35,14,9
26,RP,DARK,15,13,5
26,RP,DARK,20,33,25
26,RP,DARK,35,9,3
27,RP,DARK,15,23,12
27,RP,DARK,20,17,5
27,RP,DARK,35,28,6
28,RP,DARK,15,33,7
28,RP,DARK,20,18,5
28,RP,DARK,35,8,2
29,RP,DARK,15,23,10
29,RP,DARK,20,31,15
29,RP,DARK,35,11,2
30,RP,DARK,15,19,6
30,RP,DARK,20,18,10
30,RP,DARK,35,17,9
31,RP,DARK,15,33,12
31,RP,DARK,20,12,8
31,RP,DARK,35,20,9
32,RP,DARK,15,13,5
32,RP,DARK,20,12,5
32,RP,DARK,35,28,20
