Date,Out_temp,Room,In_temp,Cor_fac,Typ_wea
4/8/1993,48,1,64,no,SUNNY
4/8/1993,48,2,60,no,SUNNY
4/8/1993,48,3,67,no,SUNNY
4/8/1993,48,4,66,no,SUNNY
4/8/1993,48,5,68,no,SUNNY
4/8/1993,48,6,66.5,no,SUNNY
4/8/1993,48,7,68,no,SUNNY
4/8/1993,48,8,68,no,SUNNY
4/8/1993,48,9,64.5,no,SUNNY
4/8/1993,48,10,68,no,SUNNY
4/8/1993,48,11,62.5,no,SUNNY
4/8/1993,48,12,68,no,SUNNY
4/8/1993,48,13,68.5,no,SUNNY
4/8/1993,48,14,65,no,SUNNY
4/8/1993,48,15,65.5,no,SUNNY
4/8/1993,48,16,64.5,no,SUNNY
4/8/1993,48,17,61,no,SUNNY
4/8/1993,48,18,64,no,SUNNY
4/8/1993,48,19,62,no,SUNNY
4/8/1993,48,20,64,no,SUNNY
4/8/1993,48,21,64,no,SUNNY
4/9/1993,45,1,64.5,no,FOGGY
4/9/1993,45,2,63,no,FOGGY
4/9/1993,45,3,65,no,FOGGY
4/9/1993,45,4,65.5,no,FOGGY
4/9/1993,45,5,67,no,FOGGY
4/9/1993,45,6,66,no,FOGGY
4/9/1993,45,7,67,no,FOGGY
4/9/1993,45,8,65,no,FOGGY
4/9/1993,45,9,67.5,no,FOGGY
4/9/1993,45,10,68.5,no,FOGGY
4/9/1993,45,11,63.5,no,FOGGY
4/9/1993,45,12,69,no,FOGGY
4/9/1993,45,13,66,no,FOGGY
4/9/1993,45,14,66,no,FOGGY
4/9/1993,45,15,64,no,FOGGY
4/9/1993,45,16,65,no,FOGGY
4/9/1993,45,17,63,no,FOGGY
4/9/1993,45,18,63,no,FOGGY
4/9/1993,45,19,65,no,FOGGY
4/9/1993,45,20,65,no,FOGGY
4/9/1993,45,21,66,no,FOGGY
4/10/1993,45,1,65.5,no,RAINY
4/10/1993,45,2,65,no,RAINY
4/10/1993,45,3,66,no,RAINY
4/10/1993,45,4,66,no,RAINY
4/10/1993,45,5,66.5,no,RAINY
4/10/1993,45,6,66.5,no,RAINY
4/10/1993,45,7,67.5,no,RAINY
4/10/1993,45,8,67,no,RAINY
4/10/1993,45,9,67.5,no,RAINY
4/10/1993,45,10,68,no,RAINY
4/10/1993,45,11,64,no,RAINY
4/10/1993,45,12,66.5,no,RAINY
4/10/1993,45,13,67.5,no,RAINY
4/10/1993,45,14,66,no,RAINY
4/10/1993,45,15,66,no,RAINY
4/10/1993,45,16,65,no,RAINY
4/10/1993,45,17,65,no,RAINY
4/10/1993,45,18,64.5,no,RAINY
4/10/1993,45,19,65.5,no,RAINY
4/10/1993,45,20,65,no,RAINY
4/10/1993,45,21,65.5,no,RAINY
4/11/1993,51,1,66,yes,RAINY
4/11/1993,51,2,66,yes,RAINY
4/11/1993,51,3,67,yes,RAINY
4/11/1993,51,4,67.5,yes,RAINY
4/11/1993,51,5,66,yes,RAINY
4/11/1993,51,6,66.5,yes,RAINY
4/11/1993,51,7,67.5,yes,RAINY
4/11/1993,51,8,68,yes,RAINY
4/11/1993,51,9,67,yes,RAINY
4/11/1993,51,10,67,yes,RAINY
4/11/1993,51,11,64.5,yes,RAINY
4/11/1993,51,12,67.5,yes,RAINY
4/11/1993,51,13,66,yes,RAINY
4/11/1993,51,14,67,yes,RAINY
4/11/1993,51,15,67,yes,RAINY
4/11/1993,51,16,66.5,yes,RAINY
4/11/1993,51,17,64,yes,RAINY
4/11/1993,51,18,63.5,yes,RAINY
4/11/1993,51,19,65.5,yes,RAINY
4/11/1993,51,20,65.5,yes,RAINY
4/11/1993,51,21,67.5,yes,RAINY
4/12/1993,48,1,63.5,yes,RAINY
4/12/1993,48,2,64,yes,RAINY
4/12/1993,48,3,65,yes,RAINY
4/12/1993,48,4,65,yes,RAINY
4/12/1993,48,5,66,yes,RAINY
4/12/1993,48,6,64.5,yes,RAINY
4/12/1993,48,7,66.5,yes,RAINY
4/12/1993,48,8,65,yes,RAINY
4/12/1993,48,9,65,yes,RAINY
4/12/1993,48,10,66,yes,RAINY
4/12/1993,48,11,62,yes,RAINY
4/12/1993,48,12,67,yes,RAINY
4/12/1993,48,13,67,yes,RAINY
4/12/1993,48,14,67.5,yes,RAINY
4/12/1993,48,15,67,yes,RAINY
4/12/1993,48,16,65,yes,RAINY
4/12/1993,48,17,64,yes,RAINY
4/12/1993,48,18,63,yes,RAINY
4/12/1993,48,19,64,yes,RAINY
4/12/1993,48,20,63.5,yes,RAINY
4/12/1993,48,21,66.5,yes,RAINY
4/14/1993,46,1,63,yes,SUNNY
4/14/1993,46,2,63,yes,SUNNY
4/14/1993,46,3,63.5,yes,SUNNY
4/14/1993,46,4,62.5,yes,SUNNY
4/14/1993,46,5,64.5,yes,SUNNY
4/14/1993,46,6,64,yes,SUNNY
4/14/1993,46,7,67,yes,SUNNY
4/14/1993,46,8,67,yes,SUNNY
4/14/1993,46,9,67,yes,SUNNY
4/14/1993,46,10,67.5,yes,SUNNY
4/14/1993,46,11,65,yes,SUNNY
4/14/1993,46,12,66,yes,SUNNY
4/14/1993,46,13,67,yes,SUNNY
4/14/1993,46,14,66,yes,SUNNY
4/14/1993,46,15,65.5,yes,SUNNY
4/14/1993,46,16,65,yes,SUNNY
4/14/1993,46,17,61,yes,SUNNY
4/14/1993,46,18,64,yes,SUNNY
4/14/1993,46,19,64.5,yes,SUNNY
4/14/1993,46,20,64.5,yes,SUNNY
4/14/1993,46,21,65.5,yes,SUNNY
4/15/1993,47,1,65.5,yes,CLOUDY
4/15/1993,47,2,65,yes,CLOUDY
4/15/1993,47,3,67,yes,CLOUDY
4/15/1993,47,4,66.5,yes,CLOUDY
4/15/1993,47,5,66,yes,CLOUDY
4/15/1993,47,6,65.5,yes,CLOUDY
4/15/1993,47,7,66.5,yes,CLOUDY
4/15/1993,47,8,66,yes,CLOUDY
4/15/1993,47,9,66,yes,CLOUDY
4/15/1993,47,10,67,yes,CLOUDY
4/15/1993,47,11,64,yes,CLOUDY
4/15/1993,47,12,67.5,yes,CLOUDY
4/15/1993,47,13,67.5,yes,CLOUDY
4/15/1993,47,14,66.5,yes,CLOUDY
4/15/1993,47,15,65.5,yes,CLOUDY
4/15/1993,47,16,65,yes,CLOUDY
4/15/1993,47,17,63,yes,CLOUDY
4/15/1993,47,18,62,yes,CLOUDY
4/15/1993,47,19,63.5,yes,CLOUDY
4/15/1993,47,20,64,yes,CLOUDY
4/15/1993,47,21,65,yes,CLOUDY
4/16/1993,63,1,69.5,yes,SUNNY
4/16/1993,63,2,70,yes,SUNNY
4/16/1993,63,3,71.5,yes,SUNNY
4/16/1993,63,4,72,yes,SUNNY
4/16/1993,63,5,70,yes,SUNNY
4/16/1993,63,6,70,yes,SUNNY
4/16/1993,63,7,72,yes,SUNNY
4/16/1993,63,8,72.5,yes,SUNNY
4/16/1993,63,9,72,yes,SUNNY
4/16/1993,63,10,72,yes,SUNNY
4/16/1993,63,11,69,yes,SUNNY
4/16/1993,63,12,71.5,yes,SUNNY
4/16/1993,63,13,71,yes,SUNNY
4/16/1993,63,14,71,yes,SUNNY
4/16/1993,63,15,71,yes,SUNNY
4/16/1993,63,16,70.5,yes,SUNNY
4/16/1993,63,17,70,yes,SUNNY
4/16/1993,63,18,69.5,yes,SUNNY
4/16/1993,63,19,70,yes,SUNNY
4/16/1993,63,20,70,yes,SUNNY
4/16/1993,63,21,71.5,yes,SUNNY
4/17/1993,50,1,67.5,yes,SUNNY
4/17/1993,50,2,66,yes,SUNNY
4/17/1993,50,3,69.5,yes,SUNNY
4/17/1993,50,4,69,yes,SUNNY
4/17/1993,50,5,68.5,yes,SUNNY
4/17/1993,50,6,68.5,yes,SUNNY
4/17/1993,50,7,70,yes,SUNNY
4/17/1993,50,8,69.5,yes,SUNNY
4/17/1993,50,9,70,yes,SUNNY
4/17/1993,50,10,70,yes,SUNNY
4/17/1993,50,11,68.5,yes,SUNNY
4/17/1993,50,12,70.5,yes,SUNNY
4/17/1993,50,13,71,yes,SUNNY
4/17/1993,50,14,71,yes,SUNNY
4/17/1993,50,15,69,yes,SUNNY
4/17/1993,50,16,70,yes,SUNNY
4/17/1993,50,17,69,yes,SUNNY
4/17/1993,50,18,68,yes,SUNNY
4/17/1993,50,19,69,yes,SUNNY
4/17/1993,50,20,69,yes,SUNNY
4/17/1993,50,21,69,yes,SUNNY
4/18/1993,46,1,64.5,yes,SUNNY
4/18/1993,46,2,60,yes,SUNNY
4/18/1993,46,3,65.5,yes,SUNNY
4/18/1993,46,4,65.5,yes,SUNNY
4/18/1993,46,5,65.5,yes,SUNNY
4/18/1993,46,6,65,yes,SUNNY
4/18/1993,46,7,64,yes,SUNNY
4/18/1993,46,8,65.5,yes,SUNNY
4/18/1993,46,9,65.5,yes,SUNNY
4/18/1993,46,10,65,yes,SUNNY
4/18/1993,46,11,64,yes,SUNNY
4/18/1993,46,12,64.5,yes,SUNNY
4/18/1993,46,13,65.5,yes,SUNNY
4/18/1993,46,14,65.5,yes,SUNNY
4/18/1993,46,15,66,yes,SUNNY
4/18/1993,46,16,65,yes,SUNNY
4/18/1993,46,17,64,yes,SUNNY
4/18/1993,46,18,64,yes,SUNNY
4/18/1993,46,19,64,yes,SUNNY
4/18/1993,46,20,63.5,yes,SUNNY
4/18/1993,46,21,66,yes,SUNNY
4/19/1993,60,1,69.5,yes,SUNNY
4/19/1993,60,2,69,yes,SUNNY
4/19/1993,60,3,70,yes,SUNNY
4/19/1993,60,4,69.5,yes,SUNNY
4/19/1993,60,5,70.5,yes,SUNNY
4/19/1993,60,6,70.5,yes,SUNNY
4/19/1993,60,7,70,yes,SUNNY
4/19/1993,60,8,69.5,yes,SUNNY
4/19/1993,60,9,70,yes,SUNNY
4/19/1993,60,10,71,yes,SUNNY
4/19/1993,60,11,70,yes,SUNNY
4/19/1993,60,12,70,yes,SUNNY
4/19/1993,60,13,65,yes,SUNNY
4/19/1993,60,14,70.5,yes,SUNNY
4/19/1993,60,15,70,yes,SUNNY
4/19/1993,60,16,70.5,yes,SUNNY
4/19/1993,60,17,68,yes,SUNNY
4/19/1993,60,18,68,yes,SUNNY
4/19/1993,60,19,70,yes,SUNNY
4/19/1993,60,20,69,yes,SUNNY
4/19/1993,60,21,70,yes,SUNNY
4/20/1993,57,1,69,yes,SUNNY
4/20/1993,57,2,68,yes,SUNNY
4/20/1993,57,3,69,yes,SUNNY
4/20/1993,57,4,68.5,yes,SUNNY
4/20/1993,57,5,70,yes,SUNNY
4/20/1993,57,6,70,yes,SUNNY
4/20/1993,57,7,70,yes,SUNNY
4/20/1993,57,8,69,yes,SUNNY
4/20/1993,57,9,67.5,yes,SUNNY
4/20/1993,57,10,69.5,yes,SUNNY
4/20/1993,57,11,63,yes,SUNNY
4/20/1993,57,12,68,yes,SUNNY
4/20/1993,57,13,67.5,yes,SUNNY
4/20/1993,57,14,69,yes,SUNNY
4/20/1993,57,15,69,yes,SUNNY
4/20/1993,57,16,69.5,yes,SUNNY
4/20/1993,57,17,64,yes,SUNNY
4/20/1993,57,18,68,yes,SUNNY
4/20/1993,57,19,67.5,yes,SUNNY
4/20/1993,57,20,68.5,yes,SUNNY
4/20/1993,57,21,67,yes,SUNNY
4/21/1993,55,1,69.5,yes,SUNNY
4/21/1993,55,2,65.5,yes,SUNNY
4/21/1993,55,3,70,yes,SUNNY
4/21/1993,55,4,62.5,yes,SUNNY
4/21/1993,55,5,73.5,yes,SUNNY
4/21/1993,55,6,72.5,yes,SUNNY
4/21/1993,55,7,73,yes,SUNNY
4/21/1993,55,8,73.5,yes,SUNNY
4/21/1993,55,9,73,yes,SUNNY
4/21/1993,55,10,73,yes,SUNNY
4/21/1993,55,11,71,yes,SUNNY
4/21/1993,55,12,73,yes,SUNNY
4/21/1993,55,13,73,yes,SUNNY
4/21/1993,55,14,73,yes,SUNNY
4/21/1993,55,15,71.5,yes,SUNNY
4/21/1993,55,16,71,yes,SUNNY
4/21/1993,55,17,70.5,yes,SUNNY
4/21/1993,55,18,71,yes,SUNNY
4/21/1993,55,19,70,yes,SUNNY
4/21/1993,55,20,70,yes,SUNNY
4/21/1993,55,21,71.5,yes,SUNNY
4/22/1993,46,1,66,yes,RAINY
4/22/1993,46,2,65,yes,RAINY
4/22/1993,46,3,67.5,yes,RAINY
4/22/1993,46,4,68,yes,RAINY
4/22/1993,46,5,68.5,yes,RAINY
4/22/1993,46,6,67,yes,RAINY
4/22/1993,46,7,67.5,yes,RAINY
4/22/1993,46,8,68.5,yes,RAINY
4/22/1993,46,9,67.5,yes,RAINY
4/22/1993,46,10,69,yes,RAINY
4/22/1993,46,11,65.5,yes,RAINY
4/22/1993,46,12,69,yes,RAINY
4/22/1993,46,13,67,yes,RAINY
4/22/1993,46,14,67.5,yes,RAINY
4/22/1993,46,15,67,yes,RAINY
4/22/1993,46,16,67.5,yes,RAINY
4/22/1993,46,17,65.5,yes,RAINY
4/22/1993,46,18,65,yes,RAINY
4/22/1993,46,19,66.5,yes,RAINY
4/22/1993,46,20,65,yes,RAINY
4/22/1993,46,21,69,yes,RAINY
4/23/1993,46,1,64.5,yes,RAINY
4/23/1993,46,2,65,yes,RAINY
4/23/1993,46,3,66,yes,RAINY
4/23/1993,46,4,66,yes,RAINY
4/23/1993,46,5,66.5,yes,RAINY
4/23/1993,46,6,65.5,yes,RAINY
4/23/1993,46,7,66.5,yes,RAINY
4/23/1993,46,8,65.5,yes,RAINY
4/23/1993,46,9,65,yes,RAINY
4/23/1993,46,10,65.5,yes,RAINY
4/23/1993,46,11,60,yes,RAINY
4/23/1993,46,12,67,yes,RAINY
4/23/1993,46,13,64.5,yes,RAINY
4/23/1993,46,14,67,yes,RAINY
4/23/1993,46,15,65.5,yes,RAINY
4/23/1993,46,16,64.5,yes,RAINY
4/23/1993,46,17,63.5,yes,RAINY
4/23/1993,46,18,63,yes,RAINY
4/23/1993,46,19,64,yes,RAINY
4/23/1993,46,20,65,yes,RAINY
4/23/1993,46,21,67,yes,RAINY
4/24/1993,58,1,65,yes,SUNNY
4/24/1993,58,2,64,yes,SUNNY
4/24/1993,58,3,68.5,yes,SUNNY
4/24/1993,58,4,68,yes,SUNNY
4/24/1993,58,5,67,yes,SUNNY
4/24/1993,58,6,66.5,yes,SUNNY
4/24/1993,58,7,68,yes,SUNNY
4/24/1993,58,8,68,yes,SUNNY
4/24/1993,58,9,68,yes,SUNNY
4/24/1993,58,10,68,yes,SUNNY
4/24/1993,58,11,67,yes,SUNNY
4/24/1993,58,12,68,yes,SUNNY
4/24/1993,58,13,69,yes,SUNNY
4/24/1993,58,14,67,yes,SUNNY
4/24/1993,58,15,66.5,yes,SUNNY
4/24/1993,58,16,66,yes,SUNNY
4/24/1993,58,17,66,yes,SUNNY
4/24/1993,58,18,66,yes,SUNNY
4/24/1993,58,19,66,yes,SUNNY
4/24/1993,58,20,66.5,yes,SUNNY
4/24/1993,58,21,68,yes,SUNNY
4/25/1993,60,1,70,yes,SUNNY
4/25/1993,60,2,70,yes,SUNNY
4/25/1993,60,3,70.5,yes,SUNNY
4/25/1993,60,4,69.5,yes,SUNNY
4/25/1993,60,5,71.5,yes,SUNNY
4/25/1993,60,6,71,yes,SUNNY
4/25/1993,60,7,71.5,yes,SUNNY
4/25/1993,60,8,70.5,yes,SUNNY
4/25/1993,60,9,70,yes,SUNNY
4/25/1993,60,10,72,yes,SUNNY
4/25/1993,60,11,69.5,yes,SUNNY
4/25/1993,60,12,71,yes,SUNNY
4/25/1993,60,13,69.5,yes,SUNNY
4/25/1993,60,14,71.5,yes,SUNNY
4/25/1993,60,15,71,yes,SUNNY
4/25/1993,60,16,72,yes,SUNNY
4/25/1993,60,17,71.5,yes,SUNNY
4/25/1993,60,18,71.5,yes,SUNNY
4/25/1993,60,19,71.5,yes,SUNNY
4/25/1993,60,20,71,yes,SUNNY
4/25/1993,60,21,71.5,yes,SUNNY
4/26/1993,46,1,66,yes,RAINY
4/26/1993,46,2,66,yes,RAINY
4/26/1993,46,3,70,yes,RAINY
4/26/1993,46,4,69,yes,RAINY
4/26/1993,46,5,69,yes,RAINY
4/26/1993,46,6,67,yes,RAINY
4/26/1993,46,7,69,yes,RAINY
4/26/1993,46,8,68,yes,RAINY
4/26/1993,46,9,68.5,yes,RAINY
4/26/1993,46,10,68.5,yes,RAINY
4/26/1993,46,11,66,yes,RAINY
4/26/1993,46,12,70,yes,RAINY
4/26/1993,46,13,70,yes,RAINY
4/26/1993,46,14,68,yes,RAINY
4/26/1993,46,15,67,yes,RAINY
4/26/1993,46,16,67.5,yes,RAINY
4/26/1993,46,17,66,yes,RAINY
4/26/1993,46,18,65,yes,RAINY
4/26/1993,46,19,66.5,yes,RAINY
4/26/1993,46,20,65,yes,RAINY
4/26/1993,46,21,67,yes,RAINY
4/27/1993,38,1,65,yes,SUNNY
4/27/1993,38,2,64,yes,SUNNY
4/27/1993,38,3,66,yes,SUNNY
4/27/1993,38,4,65,yes,SUNNY
4/27/1993,38,5,65.5,yes,SUNNY
4/27/1993,38,6,63.5,yes,SUNNY
4/27/1993,38,7,66,yes,SUNNY
4/27/1993,38,8,64.5,yes,SUNNY
4/27/1993,38,9,65,yes,SUNNY
4/27/1993,38,10,66,yes,SUNNY
4/27/1993,38,11,63.5,yes,SUNNY
4/27/1993,38,12,66.5,yes,SUNNY
4/27/1993,38,13,67,yes,SUNNY
4/27/1993,38,14,66,yes,SUNNY
4/27/1993,38,15,66,yes,SUNNY
4/27/1993,38,16,66,yes,SUNNY
4/27/1993,38,17,68,yes,SUNNY
4/27/1993,38,18,67.5,yes,SUNNY
4/27/1993,38,19,65.5,yes,SUNNY
4/27/1993,38,20,65,yes,SUNNY
4/27/1993,38,21,64,yes,SUNNY
4/28/1993,40,1,64.5,yes,SUNNY
4/28/1993,40,2,64,yes,SUNNY
4/28/1993,40,3,65.5,yes,SUNNY
4/28/1993,40,4,65.5,yes,SUNNY
4/28/1993,40,5,65.5,yes,SUNNY
4/28/1993,40,6,64,yes,SUNNY
4/28/1993,40,7,65,yes,SUNNY
4/28/1993,40,8,65,yes,SUNNY
4/28/1993,40,9,65,yes,SUNNY
4/28/1993,40,10,65.5,yes,SUNNY
4/28/1993,40,11,60,yes,SUNNY
4/28/1993,40,12,66.5,yes,SUNNY
4/28/1993,40,13,64.5,yes,SUNNY
4/28/1993,40,14,67,yes,SUNNY
4/28/1993,40,15,67,yes,SUNNY
4/28/1993,40,16,65,yes,SUNNY
4/28/1993,40,17,67.5,yes,SUNNY
4/28/1993,40,18,65,yes,SUNNY
4/28/1993,40,19,65,yes,SUNNY
4/28/1993,40,20,64.5,yes,SUNNY
4/28/1993,40,21,66.5,yes,SUNNY
4/29/1993,48,1,63.5,yes,SUNNY
4/29/1993,48,2,60,yes,SUNNY
4/29/1993,48,3,67,yes,SUNNY
4/29/1993,48,4,64.5,yes,SUNNY
4/29/1993,48,5,68,yes,SUNNY
4/29/1993,48,6,67.5,yes,SUNNY
4/29/1993,48,7,68.5,yes,SUNNY
4/29/1993,48,8,68,yes,SUNNY
4/29/1993,48,9,67,yes,SUNNY
4/29/1993,48,10,66.5,yes,SUNNY
4/29/1993,48,11,66.5,yes,SUNNY
4/29/1993,48,12,66.5,yes,SUNNY
4/29/1993,48,13,67,yes,SUNNY
4/29/1993,48,14,68,yes,SUNNY
4/29/1993,48,15,67.5,yes,SUNNY
4/29/1993,48,16,65.5,yes,SUNNY
4/29/1993,48,17,64,yes,SUNNY
4/29/1993,48,18,64,yes,SUNNY
4/29/1993,48,19,62.5,yes,SUNNY
4/29/1993,48,20,64,yes,SUNNY
4/29/1993,48,21,66.5,yes,SUNNY
4/30/1993,48,1,65,yes,PARTLY CLOUDY
4/30/1993,48,2,62,yes,PARTLY CLOUDY
4/30/1993,48,3,67,yes,PARTLY CLOUDY
4/30/1993,48,4,65.5,yes,PARTLY CLOUDY
4/30/1993,48,5,69,yes,PARTLY CLOUDY
4/30/1993,48,6,68.5,yes,PARTLY CLOUDY
4/30/1993,48,7,68.5,yes,PARTLY CLOUDY
4/30/1993,48,8,68,yes,PARTLY CLOUDY
4/30/1993,48,9,67,yes,PARTLY CLOUDY
4/30/1993,48,10,68,yes,PARTLY CLOUDY
4/30/1993,48,11,67,yes,PARTLY CLOUDY
4/30/1993,48,12,68.5,yes,PARTLY CLOUDY
4/30/1993,48,13,68,yes,PARTLY CLOUDY
4/30/1993,48,14,67,yes,PARTLY CLOUDY
4/30/1993,48,15,67,yes,PARTLY CLOUDY
4/30/1993,48,16,62,yes,PARTLY CLOUDY
4/30/1993,48,17,66,yes,PARTLY CLOUDY
4/30/1993,48,18,65,yes,PARTLY CLOUDY
4/30/1993,48,19,66.5,yes,PARTLY CLOUDY
4/30/1993,48,20,65.5,yes,PARTLY CLOUDY
4/30/1993,48,21,67,yes,PARTLY CLOUDY
5/1/1993,60,1,70,yes,SUNNY
5/1/1993,60,2,69.5,yes,SUNNY
5/1/1993,60,3,71,yes,SUNNY
5/1/1993,60,4,71,yes,SUNNY
5/1/1993,60,5,71,yes,SUNNY
5/1/1993,60,6,71,yes,SUNNY
5/1/1993,60,7,71,yes,SUNNY
5/1/1993,60,8,71,yes,SUNNY
5/1/1993,60,9,71,yes,SUNNY
5/1/1993,60,10,71,yes,SUNNY
5/1/1993,60,11,71.5,yes,SUNNY
5/1/1993,60,12,71.5,yes,SUNNY
5/1/1993,60,13,71.5,yes,SUNNY
5/1/1993,60,14,72,yes,SUNNY
5/1/1993,60,15,72,yes,SUNNY
5/1/1993,60,16,71,yes,SUNNY
5/1/1993,60,17,71,yes,SUNNY
5/1/1993,60,18,71,yes,SUNNY
5/1/1993,60,19,71,yes,SUNNY
5/1/1993,60,20,70,yes,SUNNY
5/1/1993,60,21,71.5,yes,SUNNY
5/2/1993,52,1,69.5,yes,SUNNY
5/2/1993,52,2,70,yes,SUNNY
5/2/1993,52,3,72.5,yes,SUNNY
5/2/1993,52,4,72,yes,SUNNY
5/2/1993,52,5,72,yes,SUNNY
5/2/1993,52,6,71,yes,SUNNY
5/2/1993,52,7,72,yes,SUNNY
5/2/1993,52,8,71.5,yes,SUNNY
5/2/1993,52,9,71,yes,SUNNY
5/2/1993,52,10,70.5,yes,SUNNY
5/2/1993,52,11,69,yes,SUNNY
5/2/1993,52,12,72,yes,SUNNY
5/2/1993,52,13,73,yes,SUNNY
5/2/1993,52,14,72.5,yes,SUNNY
5/2/1993,52,15,72,yes,SUNNY
5/2/1993,52,16,71.5,yes,SUNNY
5/2/1993,52,17,72,yes,SUNNY
5/2/1993,52,18,72,yes,SUNNY
5/2/1993,52,19,71,yes,SUNNY
5/2/1993,52,20,69.5,yes,SUNNY
5/2/1993,52,21,70.5,yes,SUNNY
5/3/1993,47,1,62,yes,PARTLY CLOUDY
5/3/1993,47,2,58.5,yes,PARTLY CLOUDY
5/3/1993,47,3,67.5,yes,PARTLY CLOUDY
5/3/1993,47,4,68,yes,PARTLY CLOUDY
5/3/1993,47,5,68,yes,PARTLY CLOUDY
5/3/1993,47,6,67,yes,PARTLY CLOUDY
5/3/1993,47,7,68,yes,PARTLY CLOUDY
5/3/1993,47,8,67.5,yes,PARTLY CLOUDY
5/3/1993,47,9,67.5,yes,PARTLY CLOUDY
5/3/1993,47,10,68,yes,PARTLY CLOUDY
5/3/1993,47,11,65.5,yes,PARTLY CLOUDY
5/3/1993,47,12,68.5,yes,PARTLY CLOUDY
5/3/1993,47,13,67.5,yes,PARTLY CLOUDY
5/3/1993,47,14,68,yes,PARTLY CLOUDY
5/3/1993,47,15,68.5,yes,PARTLY CLOUDY
5/3/1993,47,16,66,yes,PARTLY CLOUDY
5/3/1993,47,17,62.5,yes,PARTLY CLOUDY
5/3/1993,47,18,65,yes,PARTLY CLOUDY
5/3/1993,47,19,66,yes,PARTLY CLOUDY
5/3/1993,47,20,64,yes,PARTLY CLOUDY
5/3/1993,47,21,67,yes,PARTLY CLOUDY
5/4/1993,58,1,69.5,yes,CLOUDY
5/4/1993,58,2,68.5,yes,CLOUDY
5/4/1993,58,3,69,yes,CLOUDY
5/4/1993,58,4,70,yes,CLOUDY
5/4/1993,58,5,70.5,yes,CLOUDY
